### SECTION 1: GameHeap::Free callers (quarantine SAFE)
  UNCONDITIONAL_CALL @ 00a87d40 (in FUN_00a87ae0 @ 00a87ae0)
  UNCONDITIONAL_CALL @ 00a87e16 (in FUN_00a87ae0 @ 00a87ae0)
  UNCONDITIONAL_CALL @ 00a87ea4 (in FUN_00a87ae0 @ 00a87ae0)
  UNCONDITIONAL_CALL @ 00aa21c2 (in FUN_00aa2170 @ 00aa2170)
  UNCONDITIONAL_CALL @ 00aa198b (in FUN_00aa1980 @ 00aa1980)
  UNCONDITIONAL_CALL @ 00aa41ad (in FUN_00aa4150 @ 00aa4150)
  UNCONDITIONAL_CALL @ 00aa8341 (in FUN_00aa81d0 @ 00aa81d0)
  UNCONDITIONAL_CALL @ 00aa8393 (in FUN_00aa81d0 @ 00aa81d0)
  UNCONDITIONAL_CALL @ 00aa83e6 (in FUN_00aa81d0 @ 00aa81d0)
  UNCONDITIONAL_CALL @ 00aa888a (in FUN_00aa8850 @ 00aa8850)
  UNCONDITIONAL_CALL @ 00aa88b5 (in FUN_00aa8850 @ 00aa8850)
  UNCONDITIONAL_CALL @ 00aab803 (in FUN_00aaaf10 @ 00aaaf10)
  UNCONDITIONAL_CALL @ 00aab84b (in FUN_00aaaf10 @ 00aaaf10)
  UNCONDITIONAL_CALL @ 00aab943 (in FUN_00aaaf10 @ 00aaaf10)
  UNCONDITIONAL_CALL @ 00aab98b (in FUN_00aaaf10 @ 00aaaf10)
  UNCONDITIONAL_CALL @ 00aabc32 (in FUN_00aaaf10 @ 00aaaf10)
  UNCONDITIONAL_CALL @ 00aabc7a (in FUN_00aaaf10 @ 00aaaf10)
  UNCONDITIONAL_CALL @ 00aae36c (in FUN_00aae200 @ 00aae200)
  UNCONDITIONAL_CALL @ 00aae824 (in FUN_00aae3a0 @ 00aae3a0)
  UNCONDITIONAL_CALL @ 00ab09cd (in FUN_00aafc80 @ 00aafc80)
  UNCONDITIONAL_CALL @ 00ab0fa6 (in FUN_00ab0d50 @ 00ab0d50)
  UNCONDITIONAL_CALL @ 00ab146e (in FUN_00ab0fd0 @ 00ab0fd0)
  UNCONDITIONAL_CALL @ 00ab1c78 (in FUN_00ab1800 @ 00ab1800)
  UNCONDITIONAL_CALL @ 00ab2125 (in FUN_00ab1800 @ 00ab1800)
  UNCONDITIONAL_CALL @ 00ab3771 (in FUN_00ab3370 @ 00ab3370)
  UNCONDITIONAL_CALL @ 00ab3ec1 (in FUN_00ab3a40 @ 00ab3a40)
  UNCONDITIONAL_CALL @ 00abbaae (in FUN_00abb930 @ 00abb930)
  UNCONDITIONAL_CALL @ 00abbe7c (in FUN_00abbd10 @ 00abbd10)
  UNCONDITIONAL_CALL @ 00abc0f7 (in FUN_00abc0a0 @ 00abc0a0)
  UNCONDITIONAL_CALL @ 00abc160 (in FUN_00abc120 @ 00abc120)
  UNCONDITIONAL_CALL @ 00abc739 (in FUN_00abc320 @ 00abc320)
  UNCONDITIONAL_CALL @ 00abcf37 (in FUN_00abca90 @ 00abca90)
  UNCONDITIONAL_CALL @ 00abd762 (in FUN_00abd2e0 @ 00abd2e0)
  UNCONDITIONAL_CALL @ 00abdf7d (in FUN_00abdb10 @ 00abdb10)
  UNCONDITIONAL_CALL @ 00abe6a1 (in FUN_00abe310 @ 00abe310)
  UNCONDITIONAL_CALL @ 00abeeb6 (in FUN_00abeb00 @ 00abeb00)
  UNCONDITIONAL_CALL @ 00abf67a (in FUN_00abf210 @ 00abf210)
  UNCONDITIONAL_CALL @ 00abf6bc (in FUN_00abf210 @ 00abf210)
  UNCONDITIONAL_CALL @ 00abfefa (in FUN_00abfa90 @ 00abfa90)
  UNCONDITIONAL_CALL @ 00abff3c (in FUN_00abfa90 @ 00abfa90)
  UNCONDITIONAL_CALL @ 00ac2b12 (in FUN_00ac27c0 @ 00ac27c0)
  UNCONDITIONAL_CALL @ 00ac2eda (in FUN_00ac2ca0 @ 00ac2ca0)
  UNCONDITIONAL_CALL @ 00ac5b80 (in FUN_00ac5540 @ 00ac5540)
  UNCONDITIONAL_CALL @ 00ac5bb2 (in FUN_00ac5540 @ 00ac5540)
  UNCONDITIONAL_CALL @ 00ada456 (in FUN_00ada330 @ 00ada330)
  UNCONDITIONAL_CALL @ 00ada4c8 (in FUN_00ada330 @ 00ada330)
  UNCONDITIONAL_CALL @ 00ae7660 (in FUN_00ae75f0 @ 00ae75f0)
  UNCONDITIONAL_CALL @ 00ae843b (in FUN_00ae83e0 @ 00ae83e0)
  UNCONDITIONAL_CALL @ 00af4baa (in FUN_00af4550 @ 00af4550)
  UNCONDITIONAL_CALL @ 00af5869 (in FUN_00af5820 @ 00af5820)
  UNCONDITIONAL_CALL @ 00af58cf (in FUN_00af5820 @ 00af5820)
  UNCONDITIONAL_CALL @ 00af594f (in FUN_00af5820 @ 00af5820)
  UNCONDITIONAL_CALL @ 00af828b (in FUN_00af7eb0 @ 00af7eb0)
  UNCONDITIONAL_CALL @ 00af8486 (in FUN_00af7eb0 @ 00af7eb0)
  UNCONDITIONAL_CALL @ 00af84a9 (in FUN_00af7eb0 @ 00af7eb0)
  UNCONDITIONAL_CALL @ 00af85d7 (in FUN_00af7eb0 @ 00af7eb0)
  UNCONDITIONAL_CALL @ 00af863e (in FUN_00af7eb0 @ 00af7eb0)
  UNCONDITIONAL_CALL @ 00af8663 (in FUN_00af7eb0 @ 00af7eb0)
  UNCONDITIONAL_CALL @ 00afa0e5 (in FUN_00af9c50 @ 00af9c50)
  UNCONDITIONAL_CALL @ 00afa0ff (in FUN_00af9c50 @ 00af9c50)
  UNCONDITIONAL_CALL @ 00af9634 (in FUN_00af94c0 @ 00af94c0)
  UNCONDITIONAL_CALL @ 00afa519 (in FUN_00afa120 @ 00afa120)
  UNCONDITIONAL_CALL @ 00afa533 (in FUN_00afa120 @ 00afa120)
  UNCONDITIONAL_CALL @ 00af9756 (in FUN_00af96d0 @ 00af96d0)
  UNCONDITIONAL_CALL @ 00af99f5 (in FUN_00af96d0 @ 00af96d0)
  UNCONDITIONAL_CALL @ 00af9a6b (in FUN_00af96d0 @ 00af96d0)
  UNCONDITIONAL_CALL @ 00af9aad (in FUN_00af96d0 @ 00af96d0)
  UNCONDITIONAL_CALL @ 00afcb6a (in FUN_00afcaf0 @ 00afcaf0)
  UNCONDITIONAL_CALL @ 00afdd56 (in FUN_00afdcf0 @ 00afdcf0)
  UNCONDITIONAL_CALL @ 00afc56f (in FUN_00afc430 @ 00afc430)
  UNCONDITIONAL_CALL @ 00afe567 (in FUN_00afe420 @ 00afe420)
  UNCONDITIONAL_CALL @ 00af6e07 (in FUN_00af6ba0 @ 00af6ba0)
  UNCONDITIONAL_CALL @ 00af6e23 (in FUN_00af6ba0 @ 00af6ba0)
  UNCONDITIONAL_CALL @ 00afe783 (in FUN_00afe5b0 @ 00afe5b0)
  UNCONDITIONAL_CALL @ 00affd56 (in FUN_00affd10 @ 00affd10)
  UNCONDITIONAL_CALL @ 00affe64 (in FUN_00affd80 @ 00affd80)
  UNCONDITIONAL_CALL @ 00b07f6c (in FUN_00b07f20 @ 00b07f20)
  UNCONDITIONAL_CALL @ 00b548d4 (in FUN_00b54630 @ 00b54630)
  UNCONDITIONAL_CALL @ 00b548f6 (in FUN_00b54630 @ 00b54630)
  UNCONDITIONAL_CALL @ 00b549a9 (in FUN_00b54630 @ 00b54630)
  UNCONDITIONAL_CALL @ 00b54a9f (in FUN_00b54630 @ 00b54630)
  UNCONDITIONAL_CALL @ 00b552dc (in FUN_00b54b60 @ 00b54b60)
  UNCONDITIONAL_CALL @ 00b552f7 (in FUN_00b54b60 @ 00b54b60)
  UNCONDITIONAL_CALL @ 00b57507 (in FUN_00b57420 @ 00b57420)
  UNCONDITIONAL_CALL @ 00b575b9 (in FUN_00b57420 @ 00b57420)
  UNCONDITIONAL_CALL @ 00b5790f (in FUN_00b578a0 @ 00b578a0)
  UNCONDITIONAL_CALL @ 00b57931 (in FUN_00b578a0 @ 00b578a0)
  UNCONDITIONAL_CALL @ 00b59a0d (in FUN_00b59940 @ 00b59940)
  UNCONDITIONAL_CALL @ 00b59905 (in FUN_00b59890 @ 00b59890)
  UNCONDITIONAL_CALL @ 00b59639 (in FUN_00b595b0 @ 00b595b0)
  UNCONDITIONAL_CALL @ 00b5854d (in FUN_00b58530 @ 00b58530)
  UNCONDITIONAL_CALL @ 00b61512 (in FUN_00b61370 @ 00b61370)
  UNCONDITIONAL_CALL @ 00b6175f (in FUN_00b61570 @ 00b61570)
  UNCONDITIONAL_CALL @ 00b629e5 (in FUN_00b62970 @ 00b62970)
  UNCONDITIONAL_CALL @ 00b612d9 (in FUN_00b61250 @ 00b61250)
  UNCONDITIONAL_CALL @ 00b62af6 (in FUN_00b62a20 @ 00b62a20)
  UNCONDITIONAL_CALL @ 00b62d36 (in FUN_00b62bd0 @ 00b62bd0)
  UNCONDITIONAL_CALL @ 00b63227 (in FUN_00b631d0 @ 00b631d0)
  UNCONDITIONAL_CALL @ 00b63275 (in FUN_00b631d0 @ 00b631d0)
  UNCONDITIONAL_CALL @ 00b632d3 (in FUN_00b631d0 @ 00b631d0)
  UNCONDITIONAL_CALL @ 00b63306 (in FUN_00b631d0 @ 00b631d0)
  UNCONDITIONAL_CALL @ 00b6365e (in FUN_00b63620 @ 00b63620)
  UNCONDITIONAL_CALL @ 00b63726 (in FUN_00b63680 @ 00b63680)
  UNCONDITIONAL_CALL @ 00b635fd (in FUN_00b63540 @ 00b63540)
  UNCONDITIONAL_CALL @ 00b655e5 (in FUN_00b655b0 @ 00b655b0)
  UNCONDITIONAL_CALL @ 00b655f3 (in FUN_00b655b0 @ 00b655b0)
  UNCONDITIONAL_CALL @ 00b64ef1 (in FUN_00b64ec0 @ 00b64ec0)
  UNCONDITIONAL_CALL @ 00b685d2 (in FUN_00b68450 @ 00b68450)
  UNCONDITIONAL_CALL @ 00b68602 (in FUN_00b68450 @ 00b68450)
  UNCONDITIONAL_CALL @ 00b68625 (in FUN_00b68450 @ 00b68450)
  UNCONDITIONAL_CALL @ 00b6dd5a (in FUN_00b6dd00 @ 00b6dd00)
  UNCONDITIONAL_CALL @ 00b6f221 (in FUN_00b6f0b0 @ 00b6f0b0)
  UNCONDITIONAL_CALL @ 00b6f2d2 (in FUN_00b6f0b0 @ 00b6f0b0)
  UNCONDITIONAL_CALL @ 00b7fd5f (in FUN_00b7fd50 @ 00b7fd50)
  UNCONDITIONAL_CALL @ 00b7fd77 (in FUN_00b7fd50 @ 00b7fd50)
  UNCONDITIONAL_CALL @ 00b7ff18 (in FUN_00b7fe40 @ 00b7fe40)
  UNCONDITIONAL_CALL @ 00b8a96f (in FUN_00b8a8e0 @ 00b8a8e0)
  UNCONDITIONAL_CALL @ 00b8a835 (in FUN_00b8a7e0 @ 00b8a7e0)
  UNCONDITIONAL_CALL @ 00b8a84a (in FUN_00b8a7e0 @ 00b8a7e0)
  UNCONDITIONAL_CALL @ 00b8ac25 (in FUN_00b8ab10 @ 00b8ab10)
  UNCONDITIONAL_CALL @ 00b8ac93 (in FUN_00b8ab10 @ 00b8ab10)
  UNCONDITIONAL_CALL @ 00b99758 (in FUN_00b99730 @ 00b99730)
  UNCONDITIONAL_CALL @ 00ba8ce6 (in FUN_00ba8cd0 @ 00ba8cd0)
  UNCONDITIONAL_CALL @ 00baa01e (in FUN_00baa000 @ 00baa000)
  UNCONDITIONAL_CALL @ 00baa03a (in FUN_00baa000 @ 00baa000)
  UNCONDITIONAL_CALL @ 00baa056 (in FUN_00baa000 @ 00baa000)
  UNCONDITIONAL_CALL @ 00baa072 (in FUN_00baa000 @ 00baa000)
  UNCONDITIONAL_CALL @ 00baa08e (in FUN_00baa000 @ 00baa000)
  UNCONDITIONAL_CALL @ 00baa0aa (in FUN_00baa000 @ 00baa000)
  UNCONDITIONAL_CALL @ 00baa0c6 (in FUN_00baa000 @ 00baa000)
  UNCONDITIONAL_CALL @ 00ba957d (in FUN_00ba9520 @ 00ba9520)
  UNCONDITIONAL_CALL @ 00ba958e (in FUN_00ba9520 @ 00ba9520)
  UNCONDITIONAL_CALL @ 00ba95ba (in FUN_00ba9520 @ 00ba9520)
  UNCONDITIONAL_CALL @ 00b4e3d1 (in FUN_00b4e380 @ 00b4e380)
  UNCONDITIONAL_CALL @ 00b6c15c (in FUN_00b6c130 @ 00b6c130)
  UNCONDITIONAL_CALL @ 00b6c182 (in FUN_00b6c130 @ 00b6c130)
  UNCONDITIONAL_CALL @ 00bd6629 (in FUN_00bd6570 @ 00bd6570)
  UNCONDITIONAL_CALL @ 00bd663a (in FUN_00bd6570 @ 00bd6570)
  UNCONDITIONAL_CALL @ 00bd9076 (in FUN_00bd8f90 @ 00bd8f90)
  UNCONDITIONAL_CALL @ 00bd9087 (in FUN_00bd8f90 @ 00bd8f90)
  UNCONDITIONAL_CALL @ 00be139e (in FUN_00be0fe0 @ 00be0fe0)
  UNCONDITIONAL_CALL @ 00be16eb (in FUN_00be0fe0 @ 00be0fe0)
  UNCONDITIONAL_CALL @ 00be1b45 (in FUN_00be1750 @ 00be1750)
  UNCONDITIONAL_CALL @ 00be1e56 (in FUN_00be1750 @ 00be1750)
  UNCONDITIONAL_CALL @ 00c3325d (in FUN_00c33170 @ 00c33170)
  UNCONDITIONAL_CALL @ 00c3cec4 (in FUN_00c3cea0 @ 00c3cea0)
  UNCONDITIONAL_CALL @ 00c42aec (in FUN_00c42960 @ 00c42960)
  UNCONDITIONAL_CALL @ 00c42040 (in FUN_00c41fe0 @ 00c41fe0)
  UNCONDITIONAL_CALL @ 00c42d29 (in FUN_00c42b80 @ 00c42b80)
  UNCONDITIONAL_CALL @ 00c42d51 (in FUN_00c42b80 @ 00c42b80)
  UNCONDITIONAL_CALL @ 00c44c2e (in FUN_00c44b70 @ 00c44b70)
  UNCONDITIONAL_CALL @ 00c4645c (in FUN_00c46420 @ 00c46420)
  UNCONDITIONAL_CALL @ 00c464a8 (in FUN_00c46420 @ 00c46420)
  UNCONDITIONAL_CALL @ 00c508e5 (in FUN_00c50610 @ 00c50610)
  UNCONDITIONAL_CALL @ 00c435f1 (in FUN_00c435a0 @ 00c435a0)
  UNCONDITIONAL_CALL @ 00c547b1 (in FUN_00c54760 @ 00c54760)
  UNCONDITIONAL_CALL @ 00c552f1 (in FUN_00c552a0 @ 00c552a0)
